Step 100/900000, Total Loss: 13.0728, Mel Loss: 4.2619, Mel PostNet Loss: 4.0013, Pitch Loss: 2.6958, Energy Loss: 1.4748, Duration Loss: 0.6391
Step 200/900000, Total Loss: 10.3020, Mel Loss: 3.1743, Mel PostNet Loss: 2.8449, Pitch Loss: 2.2299, Energy Loss: 1.6287, Duration Loss: 0.4241
Step 300/900000, Total Loss: 8.1368, Mel Loss: 2.0099, Mel PostNet Loss: 1.7366, Pitch Loss: 2.7054, Energy Loss: 1.2714, Duration Loss: 0.4134
Step 400/900000, Total Loss: 5.8749, Mel Loss: 1.1880, Mel PostNet Loss: 1.0914, Pitch Loss: 2.1906, Energy Loss: 1.1023, Duration Loss: 0.3026
Step 500/900000, Total Loss: 5.0193, Mel Loss: 0.9457, Mel PostNet Loss: 0.9903, Pitch Loss: 1.6831, Energy Loss: 1.0898, Duration Loss: 0.3103
Step 600/900000, Total Loss: 4.0773, Mel Loss: 0.8765, Mel PostNet Loss: 0.9192, Pitch Loss: 1.1410, Energy Loss: 0.8859, Duration Loss: 0.2548
Step 700/900000, Total Loss: 3.7052, Mel Loss: 0.8220, Mel PostNet Loss: 0.8912, Pitch Loss: 0.9406, Energy Loss: 0.8357, Duration Loss: 0.2157
Step 800/900000, Total Loss: 3.4738, Mel Loss: 0.8092, Mel PostNet Loss: 0.8440, Pitch Loss: 0.9407, Energy Loss: 0.6762, Duration Loss: 0.2036
Step 900/900000, Total Loss: 2.6794, Mel Loss: 0.7307, Mel PostNet Loss: 0.7594, Pitch Loss: 0.5519, Energy Loss: 0.4734, Duration Loss: 0.1639
Step 1000/900000, Total Loss: 2.5367, Mel Loss: 0.7107, Mel PostNet Loss: 0.7655, Pitch Loss: 0.4677, Energy Loss: 0.4156, Duration Loss: 0.1773
Step 1100/900000, Total Loss: 2.4918, Mel Loss: 0.6904, Mel PostNet Loss: 0.9984, Pitch Loss: 0.3774, Energy Loss: 0.2973, Duration Loss: 0.1283
Step 1200/900000, Total Loss: 2.2774, Mel Loss: 0.6780, Mel PostNet Loss: 0.9341, Pitch Loss: 0.3401, Energy Loss: 0.2161, Duration Loss: 0.1091
Step 1300/900000, Total Loss: 2.2397, Mel Loss: 0.6111, Mel PostNet Loss: 0.6943, Pitch Loss: 0.6632, Energy Loss: 0.1752, Duration Loss: 0.0960
Step 1400/900000, Total Loss: 1.7408, Mel Loss: 0.6060, Mel PostNet Loss: 0.6104, Pitch Loss: 0.2187, Energy Loss: 0.2131, Duration Loss: 0.0925
Step 1500/900000, Total Loss: 1.6677, Mel Loss: 0.5716, Mel PostNet Loss: 0.6053, Pitch Loss: 0.2299, Energy Loss: 0.1798, Duration Loss: 0.0811
Step 1600/900000, Total Loss: 1.6695, Mel Loss: 0.5494, Mel PostNet Loss: 0.5530, Pitch Loss: 0.3697, Energy Loss: 0.1180, Duration Loss: 0.0793
Step 1700/900000, Total Loss: 1.8031, Mel Loss: 0.5569, Mel PostNet Loss: 0.5623, Pitch Loss: 0.4506, Energy Loss: 0.1586, Duration Loss: 0.0746
Step 1800/900000, Total Loss: 1.5531, Mel Loss: 0.5392, Mel PostNet Loss: 0.5472, Pitch Loss: 0.2520, Energy Loss: 0.1444, Duration Loss: 0.0702
Step 1900/900000, Total Loss: 1.4661, Mel Loss: 0.5278, Mel PostNet Loss: 0.5417, Pitch Loss: 0.2111, Energy Loss: 0.1180, Duration Loss: 0.0674
Step 2000/900000, Total Loss: 1.3602, Mel Loss: 0.5105, Mel PostNet Loss: 0.5242, Pitch Loss: 0.1560, Energy Loss: 0.1097, Duration Loss: 0.0598
Step 2100/900000, Total Loss: 1.5321, Mel Loss: 0.5114, Mel PostNet Loss: 0.5251, Pitch Loss: 0.2717, Energy Loss: 0.1653, Duration Loss: 0.0586
Step 2200/900000, Total Loss: 1.4535, Mel Loss: 0.5020, Mel PostNet Loss: 0.5302, Pitch Loss: 0.2379, Energy Loss: 0.1159, Duration Loss: 0.0676
Step 2300/900000, Total Loss: 1.3864, Mel Loss: 0.5151, Mel PostNet Loss: 0.5408, Pitch Loss: 0.1720, Energy Loss: 0.1018, Duration Loss: 0.0567
Step 2400/900000, Total Loss: 1.3887, Mel Loss: 0.5225, Mel PostNet Loss: 0.5268, Pitch Loss: 0.1825, Energy Loss: 0.0992, Duration Loss: 0.0577
Step 2500/900000, Total Loss: 1.5063, Mel Loss: 0.4848, Mel PostNet Loss: 0.5000, Pitch Loss: 0.3661, Energy Loss: 0.1031, Duration Loss: 0.0524
Step 2600/900000, Total Loss: 1.3053, Mel Loss: 0.4808, Mel PostNet Loss: 0.5024, Pitch Loss: 0.1770, Energy Loss: 0.0974, Duration Loss: 0.0477
Step 2700/900000, Total Loss: 1.1649, Mel Loss: 0.4544, Mel PostNet Loss: 0.4664, Pitch Loss: 0.1030, Energy Loss: 0.0905, Duration Loss: 0.0505
Step 2800/900000, Total Loss: 1.2580, Mel Loss: 0.4644, Mel PostNet Loss: 0.4798, Pitch Loss: 0.1472, Energy Loss: 0.1176, Duration Loss: 0.0490
Step 2900/900000, Total Loss: 1.1629, Mel Loss: 0.4651, Mel PostNet Loss: 0.4681, Pitch Loss: 0.0870, Energy Loss: 0.0925, Duration Loss: 0.0502
Step 3000/900000, Total Loss: 1.1312, Mel Loss: 0.4524, Mel PostNet Loss: 0.4581, Pitch Loss: 0.1056, Energy Loss: 0.0667, Duration Loss: 0.0484
Step 3100/900000, Total Loss: 1.1439, Mel Loss: 0.4509, Mel PostNet Loss: 0.4561, Pitch Loss: 0.0978, Energy Loss: 0.0920, Duration Loss: 0.0473
