question,answer
Who is the new fulltime clinical assistant professor at the Sy Syms School of Business in YeshivaYU ?,The new fulltime clinical assistant professor at the Sy Syms School of Business in Yeshiva is Steve Mayer.
Where did Steve Mayer begin his career before joining Yeshiva University in 2023?,Steve Mayer began his career at Goldstein Golub Kessler LLP before joining Yeshiva.
What is the academic background of Steve Mayer?,Steve Mayer graduated from Baruch College with a degree in accounting in 1981.
When did Steve Mayer retire from his managing partner position at the firm?,Steve Mayer retired in 2019.
Which Yeshiva University school is Dr. Assa Cohen joining as a visiting assistant professor in 2023?,Dr. Assa Cohen is joining the Sy Syms School of Business present in YU that is Yeshiva University.
What is the primary research focus of  Assa Cohen?,Dr. Cohens research primarily focuses on financial stability and market microstructure.
What was Steve Mayers career progression after joining Goldstein Golub Kessler LLP in 1980?,Steve Mayer became the managing partner of the firm in 2006.
"Which educational background does Dr. Cohen have, and what position is he taking at the Sy Syms School of Business?","Dr. Assa Cohen has a Ph.D. in economics, and he will be a visiting assistant professor of finance."
What are the primary areas of focus in Dr. Patryk Perkowskis research at the Sy Syms School of Business?,"Dr. Patryk Perkowskis research primarily focuses on information technology, human resource management, and experimentation in business."
"Where did Dr. Tim Valshtein complete his B.A. and M.A., and what is the focus of his research?",Dr. Tim Valshtein completed his B.A. at Temple University and his M.A. at Wake Forest University. His research focuses on selfregulation and close relationships.
What university was Dr. Tim Valshtein associated with before joining Yeshiva University?,Dr. Tim Valshtein was associated with Harvard University before joining Yeshiva University.
What is Steve Mayer's role at the Sy Syms School of Business in 2023?,Mayer is a fulltime clinical assistant professor.
"Where did Steve Mayer graduate from, and in which field?",Steve Mayer graduated from Baruch College with a degree in accounting.
What is YU?,YU refers to Yeshiva University.
"When did Steve Mayer begin his career, and where?",Steve Mayer began his career in 1980 at Goldstein Golub Kessler LLP.
"Where did Dr. Valshtein complete his Ph.D., and what was his role at Harvard University?","Dr. Tim Valshtein completed his Ph.D. at New York University, and at Harvard University, he served as a College Fellow in the psychology department."
"What is the educational background of Dr. Lisa GordonHandler, and where will she be joining Yeshiva University?",Dr. Lisa GordonHandler holds a Ph.D. in organizational psychology and will join the Katz School of Science and Health.
"Before joining Yeshiva University, where was Dr. Randall Richardson working, and what will be his role at Yeshiva University?","Before joining Yeshiva University, Dr. Randall Richardson worked at Teachers College, Columbia University. At Yeshiva University, he will serve as the new associate dean at Ferkauf Graduate School."
"In what areas did Dr.  BlochElkouby conduct research, and where did she maintain a parttime faculty position?",Dr. Sarah BlochElkouby conducted research in suicide prevention and effective treatments. She maintained a parttime faculty position at Mount Sinai.
"What degrees does Dr. Sarah BlochElkouby hold, and where did she complete her LL.B.?","Dr. Sarah BlochElkouby holds an LL.B. from Hebrew University of Jerusalem, a B.S.W. from BarIlan University, and a Ph.D. in clinical psychology."
"What field is Dr. Assa Cohen's Ph.D. in, and where did he earn his Ph.D.?","Dr. Assa Cohens Ph.D. is in economics, and he obtained it from the University of Pennsylvania."
"What was Steve Mayers career trajectory, and when did he retire?","Mayer started his career in 1980, and he became the managing partner before retiring in 2019."
"Which educational institution did Steve Mayer graduate from, and what is his current role at Yeshiva University?","Mayer graduated from Baruch College, and he is currently a fulltime clinical assistant professor at the Sy Syms School of Business."
"What is the main focus of Dr. Tim Valshteins research, and what department was he associated with at Harvard University?",Dr. Valshteins research primarily focuses on selfregulation and close relationships. He was associated with the psychology department at Harvard University.
What is Dr. Lisa GordonHandlers academic background?,Dr. Lisa GordonHandler has a Ph.D. in organizational psychology and an M.A. in occupational therapy.
Which school within Yeshiva University is Dr. Lisa GordonHandler joining as an associate clinical professor?,Dr. Lisa GordonHandler will join the Katz School of Science and Health at Yeshiva.
What is Dr. Randall Richardsons area of expertise?,Dr. Randall Richardson specializes in clinical psychology.
What is Dr. Sarah BlochElkoubys role at the Ferkauf Graduate School of Psychology?,Dr. BlochElkoubys role is an assistant professor in the Psy.D. program in clinical psychology.
Where did Dr. Sarah BlochElkouby complete her LL.B.?,Dr. BlochElkouby completed her LL.B. at Hebrew University of Jerusalem.
What is Dr. Sarah BlochElkoubys parttime faculty position focused on?,Dr. Sarah BlochElkouby's parttime faculty position involves clinical supervision and coinvestigation in research programs.
What will Dr. Lisa GordonHandlers research at Yeshiva University focus on?,"Dr. Lisa GordonHandler's research will focus on learner characteristics, competencies, and their impact on academic, clinical, and professional development."
Which field of psychology is Dr. Randall Richardson an expert in?,Dr. Randall Richardson is an expert in clinical psychology.
What was Dr. Sarah BlochElkoubys role before joining Ferkauf Graduate School?,Dr. Sarah BlochElkouby was an assistant professor at Mount Sinai Beth Israel before joining Ferkauf Graduate School.
Where did Dr. Randall Richardson complete his T32 postdoctoral fellowship?,Dr. Randall Richardson completed his T32 postdoctoral fellowship at Yale College of Medicine.
What is Dr. Lisa GordonHandler's specific role as an associate clinical professor at the Katz School of Science and Health?,"Dr. GordonHandlers role is to contribute to screening procedures, retention strategies, and faculty training."
Where did Dr. Randall Richardson work prior to joining Yeshiva University as the new associate dean at Ferkauf Graduate School?,"Before joining Yeshiva University, Dr. Randall Richardson served as the director of the M.A. program at Teachers College, Columbia University."
What is the main area of research for Dr. Lisa GordonHandler at Yeshiva University?,Dr. Lisa GordonHandler's research at Yeshiva University focuses on learner characteristics and competencies.
What academic qualifications does Dr. Randall Richardson hold?,Dr. Randall Richardson holds a Ph.D. in clinical psychology.
What is Dr. Sarah BlochElkoubys primary research focus at Yeshiva University?,Dr. Sarah BlochElkoubys primary research focus is enhancing suicide prevention and effective treatments.
Where did Dr. Lisa GordonHandler obtain her Ph.D. in organizational psychology?,Dr. Lisa GordonHandler obtained her Ph.D. in organizational psychology from North Central University.
What is Dr. Randall Richardsons new role at Yeshiva University and which school is he associated with?,Dr. Randall Richardson is the new associate dean at Ferkauf Graduate School and a clinical associate professor at Yeshiva University.
What is Dr. Sarah BlochElkoubys LL.B. degree from?,Dr. Sarah BlochElkoubys LL.B. degree is from Hebrew University of Jerusalem.
"In which field did Dr. Lisa GordonHandler obtain an M.A., and from which university?",Dr. Lisa GordonHandler obtained an M.A. in occupational therapy from the University of Southern California.
What is the scope of Dr. Sarah BlochElkoubys research program at Yeshiva University?,Dr. Sarah BlochElkoubys research program focuses on suicide prevention and effective treatments. She serves as a coinvestigator in research programs.
Which programs within Yeshiva University will Dr. Lisa GordonHandler contribute to with her research?,"Dr. Lisa GordonHandlers research will contribute to screening procedures, retention strategies, and faculty training at Yeshiva University."
"What was Dr. Randall Richardsons role at Teachers College, Columbia University, before joining Yeshiva University?","Before joining Yeshiva University, Dr. Randall Richardson was the director of the M.A. program at Teachers College, Columbia University."
"Where was Dr. Sarah BlochElkouby working before joining Ferkauf Graduate School, and what was her role there?","Before joining Ferkauf Graduate School, Dr. Sarah BlochElkouby was an assistant professor at Mount Sinai Beth Israel, where she directed the psychology program and conducted grantfunded research."
Which academic programs are Dr. Lisa GordonHandlers research efforts intended to enhance at Yeshiva University?,"Dr. Lisa GordonHandlers research is intended to enhance screening procedures, retention strategies, and faculty training for advisement at Yeshiva University."
"What are Dr. Sarah BlochElkoubys academic qualifications, including her LL.B.?","Dr. Sarah BlochElkoubys academic qualifications include an LL.B., a B.S.W., and a Ph.D. in clinical psychology."
What is the focus of Dr. Lisa GordonHandlers research in relation to learner characteristics?,"Dr. Lisa GordonHandlers research focuses on identifying learner characteristics and competencies and their impact on academic, clinical, and professional development."
What is Dr. Randall Richardsons role as a clinical associate professor at Yeshiva University?,Dr. Randall Richardsons role as a clinical associate professor is part of his position as the new associate dean at Ferkauf Graduate School.
Where did Dr. Lisa GordonHandler obtain her M.A. in occupational therapy?,Dr. Lisa GordonHandler obtained her M.A. in occupational therapy from the University of Southern California.
What is Dr. Randall Richardsons prior experience before joining Yeshiva University?,"Before joining Yeshiva University, Dr. Randall Richardson worked as a research scientist and assistant professor of clinical psychology in psychiatry."
What is the primary area of research for Dr. Sarah BlochElkouby at the Ferkauf Graduate School of Psychology?,Dr. Sarah BlochElkoubys primary area of research is enhancing suicide prevention and effective treatments.
What are Joe Shortells educational qualifications?,Shortell has Bachelors in physics and masters in English.
What is Joe Shortells current professional focus in his consulting practice?,"Shortells current focus is Improving culture through communication, teamwork, and leadership."
